Gene Name,GO IDs,Biological Functions
SLC13A3,"GO:0006835, GO:0006835, GO:0015742, GO:0015746, GO:0015746, GO:0034775, GO:0035725, GO:0055085, GO:0055085, GO:0071422, GO:0071422, GO:0071422, GO:0071422, GO:0150104","dicarboxylic acid transport, dicarboxylic acid transport, alpha-ketoglutarate transport, citrate transport, citrate transport, glutathione transmembrane transport, sodium ion transmembrane transport, transmembrane transport, transmembrane transport, succinate transmembrane transport, succinate transmembrane transport, succinate transmembrane transport, succinate transmembrane transport, transport across blood-brain barrier"
SLC13A4,"GO:0035725, GO:0055085, GO:0055085, GO:0055085, GO:1902358","sodium ion transmembrane transport, transmembrane transport, transmembrane transport, transmembrane transport, sulfate transmembrane transport"
SLC13A5,"GO:0015729, GO:0015729, GO:0015729, GO:0015741, GO:0015741, GO:0015741, GO:0015742, GO:0015742, GO:0015744, GO:0015744, GO:0015746, GO:0015746, GO:0015746, GO:0035674, GO:0035725, GO:0055085, GO:0055085, GO:0055085, GO:0071285, GO:0071285, GO:0071422","oxaloacetate transport, oxaloacetate transport, oxaloacetate transport, fumarate transport, fumarate transport, fumarate transport, alpha-ketoglutarate transport, alpha-ketoglutarate transport, succinate transport, succinate transport, citrate transport, citrate transport, citrate transport, tricarboxylic acid transmembrane transport, sodium ion transmembrane transport, transmembrane transport, transmembrane transport, transmembrane transport, cellular response to lithium ion, cellular response to lithium ion, succinate transmembrane transport"
SLC14A1,"GO:0006833, GO:0015837, GO:0015837, GO:0015840, GO:0071918, GO:0071918, GO:0071918","water transport, amine transport, amine transport, urea transport, urea transmembrane transport, urea transmembrane transport, urea transmembrane transport"
SLC14A2,"GO:0015837, GO:0015837, GO:0015840, GO:0071918, GO:0071918","amine transport, amine transport, urea transport, urea transmembrane transport, urea transmembrane transport"
SLC15A1,"GO:0006857, GO:0035672, GO:0055085, GO:0140206, GO:0140206, GO:0140206, GO:0140206, GO:0140207, GO:1902600","oligopeptide transport, oligopeptide transmembrane transport, transmembrane transport, dipeptide import across plasma membrane, dipeptide import across plasma membrane, dipeptide import across plasma membrane, dipeptide import across plasma membrane, tripeptide import across plasma membrane, proton transmembrane transport"
SLC15A2,"GO:0006857, GO:0015835, GO:0042908, GO:0042938, GO:0055085, GO:0070293, GO:0070424, GO:0140206, GO:0140206, GO:0140206, GO:0140207, GO:0140367, GO:0150104, GO:1902600, GO:1990961","oligopeptide transport, peptidoglycan transport, xenobiotic transport, dipeptide transport, transmembrane transport, renal absorption, regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway, dipeptide import across plasma membrane, dipeptide import across plasma membrane, dipeptide import across plasma membrane, tripeptide import across plasma membrane, antibacterial innate immune response, transport across blood-brain barrier, proton transmembrane transport, xenobiotic detoxification by transmembrane export across the plasma membrane"
SLC15A3,"GO:0015835, GO:0015835, GO:0035672, GO:0055085, GO:0070434, GO:0070434, GO:0140206, GO:0140206, GO:1902600","peptidoglycan transport, peptidoglycan transport, oligopeptide transmembrane transport, transmembrane transport, positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway, positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway, dipeptide import across plasma membrane, dipeptide import across plasma membrane, proton transmembrane transport"
SLC15A4,"GO:0006857, GO:0015817, GO:0015835, GO:0015835, GO:0033023, GO:0033023, GO:0034157, GO:0034157, GO:0034157, GO:0034161, GO:0034161, GO:0034165, GO:0034165, GO:0034165, GO:0035672, GO:0045089, GO:0048302, GO:0048302, GO:0055085, GO:0070424, GO:0070424, GO:0070430, GO:0070430, GO:0070434, GO:0070434, GO:0089708, GO:0140206, GO:0140206, GO:1902600","oligopeptide transport, histidine transport, peptidoglycan transport, peptidoglycan transport, mast cell homeostasis, mast cell homeostasis, positive regulation of toll-like receptor 7 signaling pathway, positive regulation of toll-like receptor 7 signaling pathway, positive regulation of toll-like receptor 7 signaling pathway, positive regulation of toll-like receptor 8 signaling pathway, positive regulation of toll-like receptor 8 signaling pathway, positive regulation of toll-like receptor 9 signaling pathway, positive regulation of toll-like receptor 9 signaling pathway, positive regulation of toll-like receptor 9 signaling pathway, oligopeptide transmembrane transport, positive regulation of innate immune response, regulation of isotype switching to IgG isotypes, regulation of isotype switching to IgG isotypes, transmembrane transport, regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway, regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway, positive regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway, positive regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway, positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway, positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway, L-histidine transmembrane export from vacuole, dipeptide import across plasma membrane, dipeptide import across plasma membrane, proton transmembrane transport"
SLC15A5,"GO:0055085, GO:0055085","transmembrane transport, transmembrane transport"
SLC16A1,"GO:0006629, GO:0007098, GO:0015718, GO:0015718, GO:0015718, GO:0015718, GO:0015728, GO:0032094, GO:0035873, GO:0035879, GO:0035879, GO:0035879, GO:0035879, GO:0042593, GO:0042867, GO:0050796, GO:0051780, GO:0055085, GO:0071422, GO:0150104, GO:1901475, GO:1902600, GO:1905039, GO:1905039","lipid metabolic process, centrosome cycle, monocarboxylic acid transport, monocarboxylic acid transport, monocarboxylic acid transport, monocarboxylic acid transport, mevalonate transport, response to food, lactate transmembrane transport, plasma membrane lactate transport, plasma membrane lactate transport, plasma membrane lactate transport, plasma membrane lactate transport, glucose homeostasis, pyruvate catabolic process, regulation of insulin secretion, behavioral response to nutrient, transmembrane transport, succinate transmembrane transport, transport across blood-brain barrier, pyruvate transmembrane transport, proton transmembrane transport, carboxylic acid transmembrane transport, carboxylic acid transmembrane transport"
SLC16A10,"GO:0003333, GO:0006865, GO:0015801, GO:0015801, GO:0015801, GO:0015823, GO:0015827, GO:0015828, GO:0055085, GO:0070327, GO:0070327, GO:1905039","amino acid transmembrane transport, amino acid transport, aromatic amino acid transport, aromatic amino acid transport, aromatic amino acid transport, phenylalanine transport, tryptophan transport, tyrosine transport, transmembrane transport, thyroid hormone transport, thyroid hormone transport, carboxylic acid transmembrane transport"
SLC16A11,"GO:0006629, GO:0015718, GO:0055085, GO:1901475","lipid metabolic process, monocarboxylic acid transport, transmembrane transport, pyruvate transmembrane transport"
SLC16A12,"GO:0015881, GO:0015881, GO:0015881, GO:0046449, GO:0055085, GO:0150104","creatine transmembrane transport, creatine transmembrane transport, creatine transmembrane transport, creatinine metabolic process, transmembrane transport, transport across blood-brain barrier"
SLC16A13,"GO:0015718, GO:0055085","monocarboxylic acid transport, transmembrane transport"
SLC16A14,"GO:0015718, GO:0055085, GO:1905039","monocarboxylic acid transport, transmembrane transport, carboxylic acid transmembrane transport"
SLC16A2,"GO:0006520, GO:0015718, GO:0042403, GO:0055085, GO:0070327, GO:0070327, GO:0070327, GO:0070327, GO:0089718, GO:0150104, GO:0150104, GO:1905039, GO:2000178","amino acid metabolic process, monocarboxylic acid transport, thyroid hormone metabolic process, transmembrane transport, thyroid hormone transport, thyroid hormone transport, thyroid hormone transport, thyroid hormone transport, amino acid import across plasma membrane, transport across blood-brain barrier, transport across blood-brain barrier, carboxylic acid transmembrane transport, negative regulation of neural precursor cell proliferation"
SLC16A3,"GO:0015718, GO:0015718, GO:0035873, GO:0035879, GO:0042867, GO:0055085, GO:1901475","monocarboxylic acid transport, monocarboxylic acid transport, lactate transmembrane transport, plasma membrane lactate transport, pyruvate catabolic process, transmembrane transport, pyruvate transmembrane transport"
SLC16A4,"GO:0015718, GO:0055085, GO:1905039","monocarboxylic acid transport, transmembrane transport, carboxylic acid transmembrane transport"
SLC16A5,"GO:0015718, GO:0015718, GO:0055085","monocarboxylic acid transport, monocarboxylic acid transport, transmembrane transport"
SLC16A6,"GO:0015718, GO:0015734, GO:0015849, GO:0055085","monocarboxylic acid transport, taurine transmembrane transport, organic acid transport, transmembrane transport"
SLC16A7,"GO:0015718, GO:0035873, GO:0035879, GO:0035879, GO:0055085, GO:0150104, GO:1901475","monocarboxylic acid transport, lactate transmembrane transport, plasma membrane lactate transport, plasma membrane lactate transport, transmembrane transport, transport across blood-brain barrier, pyruvate transmembrane transport"
SLC16A8,"GO:0015718, GO:0015727, GO:0035873, GO:0055085","monocarboxylic acid transport, lactate transport, lactate transmembrane transport, transmembrane transport"
SLC16A9,"GO:0015881, GO:0015881, GO:0046415, GO:0055085, GO:1902603, GO:1905039","creatine transmembrane transport, creatine transmembrane transport, urate metabolic process, transmembrane transport, carnitine transmembrane transport, carboxylic acid transmembrane transport"
SLC17A1,"GO:0006817, GO:0015747, GO:0015747, GO:0035435, GO:0035435, GO:0035725, GO:0044341, GO:0044341, GO:0046415, GO:0055085","phosphate ion transport, urate transport, urate transport, phosphate ion transmembrane transport, phosphate ion transmembrane transport, sodium ion transmembrane transport, sodium-dependent phosphate transport, sodium-dependent phosphate transport, urate metabolic process, transmembrane transport"
SLC17A2,"GO:0006796, GO:0006814, GO:0015747, GO:0035725, GO:0055085","phosphate-containing compound metabolic process, sodium ion transport, urate transport, sodium ion transmembrane transport, transmembrane transport"
SLC17A3,"GO:0006814, GO:0006817, GO:0015747, GO:0015747, GO:0015760, GO:0034220, GO:0035725, GO:0046415, GO:0055085, GO:0055085, GO:0098656, GO:1990961","sodium ion transport, phosphate ion transport, urate transport, urate transport, glucose-6-phosphate transport, monoatomic ion transmembrane transport, sodium ion transmembrane transport, urate metabolic process, transmembrane transport, transmembrane transport, monoatomic anion transmembrane transport, xenobiotic detoxification by transmembrane export across the plasma membrane"
